epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,880.969,1.5792,1.08224,1.30849,0.03751,0.0659,0.02292,0.0093,3.06205,4.81169,1.71647,0.00061885,0.00061885,0.00061885
79,890.761,1.57037,1.03214,1.27604,0.03851,0.05705,0.02255,0.00901,3.05532,4.84868,1.7549,0.0006139,0.0006139,0.0006139
80,900.583,1.52364,1.04664,1.25791,0.03903,0.05794,0.02249,0.00904,3.04701,4.91128,1.75009,0.00060895,0.00060895,0.00060895
81,910.336,1.51535,1.02061,1.24556,0.03888,0.06148,0.02349,0.00962,3.03701,4.91735,1.71424,0.000604,0.000604,0.000604
82,920.19,1.54391,1.01969,1.28409,0.04215,0.07651,0.0268,0.01014,3.06707,4.69934,1.6982,0.00059905,0.00059905,0.00059905
83,930.088,1.54597,1.03065,1.24877,0.04089,0.0858,0.02531,0.00934,3.08457,4.78813,1.72758,0.0005941,0.0005941,0.0005941
84,939.869,1.546,1.04018,1.24284,0.04201,0.09509,0.02547,0.00922,3.08465,4.76166,1.71604,0.00058915,0.00058915,0.00058915
85,950.495,1.52555,1.00473,1.24396,0.04008,0.08094,0.02416,0.00864,3.11574,4.91086,1.72366,0.0005842,0.0005842,0.0005842
86,960.243,1.45128,0.97046,1.21125,0.03265,0.05352,0.01884,0.00681,3.14351,5.2818,1.73758,0.00057925,0.00057925,0.00057925
87,970.092,1.52104,0.98345,1.26238,0.034,0.05617,0.0209,0.00847,3.10607,5.27008,1.73557,0.0005743,0.0005743,0.0005743
88,979.223,1.4924,0.97474,1.23844,0.03796,0.0743,0.0238,0.00928,3.02076,4.97238,1.67708,0.00056935,0.00056935,0.00056935
89,988.933,1.46836,0.97599,1.23779,0.0388,0.08226,0.02319,0.00868,3.03026,4.87578,1.66149,0.0005644,0.0005644,0.0005644
90,999.545,1.48026,0.94892,1.25327,0.04212,0.08757,0.02536,0.00978,3.01224,4.75893,1.62564,0.00055945,0.00055945,0.00055945
91,1009.24,1.50046,0.95873,1.22275,0.05052,0.08226,0.0308,0.01153,2.97329,4.83623,1.60388,0.0005545,0.0005545,0.0005545
92,1020.07,1.49294,0.95653,1.25791,0.04752,0.05971,0.02748,0.00949,3.09267,5.19903,1.67509,0.00054955,0.00054955,0.00054955
93,1030.63,1.45409,0.91493,1.23075,0.03521,0.07121,0.0215,0.008,3.06939,5.02788,1.67897,0.0005446,0.0005446,0.0005446
94,1041.28,1.43857,0.94161,1.19864,0.03496,0.08094,0.0213,0.0079,3.08734,4.86814,1.69399,0.00053965,0.00053965,0.00053965
95,1051.15,1.45399,0.95104,1.24504,0.03425,0.0858,0.022,0.00831,3.07262,4.614,1.68461,0.0005347,0.0005347,0.0005347
96,1060.93,1.49981,0.97433,1.23031,0.0376,0.11411,0.02688,0.01015,3.01197,4.29436,1.62535,0.00052975,0.00052975,0.00052975
97,1070.8,1.45696,0.9309,1.22326,0.03788,0.09598,0.02967,0.01121,3.07433,4.47528,1.64754,0.0005248,0.0005248,0.0005248
98,1081.26,1.44455,0.91874,1.19935,0.03691,0.07784,0.02542,0.00942,3.14695,4.70498,1.67916,0.00051985,0.00051985,0.00051985
99,1091.05,1.42635,0.90175,1.20292,0.03679,0.0659,0.02452,0.00947,3.12005,5.00916,1.69063,0.0005149,0.0005149,0.0005149
100,1102.4,1.40087,0.89866,1.20795,0.04045,0.06059,0.02433,0.00956,3.05287,5.20413,1.6851,0.00050995,0.00050995,0.00050995
101,1114.57,1.41548,0.88536,1.17655,0.04678,0.06546,0.0276,0.01084,3.06742,5.13723,1.6883,0.000505,0.000505,0.000505
102,1125.09,1.41289,0.89151,1.18867,0.0443,0.07121,0.02672,0.01024,3.04276,4.93059,1.65631,0.00050005,0.00050005,0.00050005
103,1134.88,1.44723,0.94738,1.19096,0.04186,0.069,0.02497,0.00959,3.07305,4.99163,1.66063,0.0004951,0.0004951,0.0004951
104,1145.45,1.4434,0.89296,1.21517,0.0406,0.06502,0.02442,0.00885,3.11607,5.09739,1.69401,0.00049015,0.00049015,0.00049015
105,1155.27,1.38604,0.88762,1.18004,0.04069,0.06767,0.02464,0.00899,3.08068,5.06174,1.69418,0.0004852,0.0004852,0.0004852
106,1166.45,1.37714,0.8701,1.1437,0.04266,0.05927,0.02507,0.00917,3.104,5.05376,1.72297,0.00048025,0.00048025,0.00048025
107,1176.34,1.35501,0.84847,1.17316,0.05193,0.05484,0.03036,0.01153,3.10199,5.11637,1.74434,0.0004753,0.0004753,0.0004753
108,1185.51,1.40411,0.88072,1.20625,0.05343,0.06236,0.03098,0.01136,3.06984,5.01819,1.72756,0.00047035,0.00047035,0.00047035
109,1196.03,1.40923,0.86414,1.20813,0.05068,0.07386,0.03161,0.01322,3.00759,4.86244,1.69465,0.0004654,0.0004654,0.0004654
110,1207.34,1.34133,0.85171,1.1888,0.05241,0.07696,0.03588,0.0151,3.01169,4.89403,1.68694,0.00046045,0.00046045,0.00046045
111,1217.22,1.38585,0.8551,1.17364,0.05034,0.07519,0.03107,0.01185,3.02136,4.9389,1.67612,0.0004555,0.0004555,0.0004555
112,1226.99,1.35858,0.86846,1.15702,0.04487,0.0774,0.02783,0.00991,2.99939,4.9165,1.63703,0.00045055,0.00045055,0.00045055
113,1236.18,1.35724,0.84421,1.14464,0.04518,0.08978,0.02908,0.01102,2.98637,4.7898,1.60932,0.0004456,0.0004456,0.0004456
114,1246.85,1.36317,0.84668,1.17747,0.04513,0.09155,0.02906,0.01064,3.04267,4.76711,1.63902,0.00044065,0.00044065,0.00044065
115,1257.48,1.39038,0.82999,1.16724,0.0466,0.09863,0.03019,0.01095,3.04217,4.66654,1.63894,0.0004357,0.0004357,0.0004357
116,1268.04,1.36045,0.85577,1.15536,0.05176,0.10924,0.03486,0.01308,2.99305,4.59654,1.6201,0.00043075,0.00043075,0.00043075
117,1278.65,1.34428,0.8099,1.1517,0.05273,0.08846,0.03289,0.01236,2.99561,4.81232,1.63776,0.0004258,0.0004258,0.0004258
118,1287.87,1.3216,0.81712,1.16301,0.05212,0.07607,0.03223,0.01156,3.02965,4.86134,1.6599,0.00042085,0.00042085,0.00042085
119,1297.47,1.33235,0.81197,1.18647,0.05178,0.07961,0.03274,0.01247,2.96784,4.74492,1.63748,0.0004159,0.0004159,0.0004159
120,1307.22,1.29824,0.80637,1.13954,0.04784,0.07607,0.03027,0.01192,2.98406,4.79591,1.65169,0.00041095,0.00041095,0.00041095
121,1317.12,1.27709,0.78836,1.14232,0.05035,0.0659,0.02975,0.01118,3.03959,5.03886,1.69142,0.000406,0.000406,0.000406
122,1327.69,1.33367,0.79943,1.13683,0.0493,0.07298,0.02987,0.01072,3.01424,4.93619,1.72167,0.00040105,0.00040105,0.00040105
